,NonError,Error,Accuracy
385,111.0,4.0,0.9652173913043478
386,111.0,4.0,0.9652173913043478
387,111.0,4.0,0.9652173913043478
388,111.0,4.0,0.9652173913043478
389,111.0,4.0,0.9652173913043478
390,111.0,4.0,0.9652173913043478
391,111.0,4.0,0.9652173913043478
392,111.0,4.0,0.9652173913043478
393,111.0,4.0,0.9652173913043478
394,111.0,4.0,0.9652173913043478
395,111.0,4.0,0.9652173913043478
396,111.0,4.0,0.9652173913043478
397,111.0,4.0,0.9652173913043478
398,111.0,4.0,0.9652173913043478
399,111.0,4.0,0.9652173913043478
400,111.0,4.0,0.9652173913043478
401,111.0,4.0,0.9652173913043478
402,111.0,4.0,0.9652173913043478
403,111.0,4.0,0.9652173913043478
404,111.0,4.0,0.9652173913043478
405,111.0,4.0,0.9652173913043478
406,111.0,4.0,0.9652173913043478
407,111.0,4.0,0.9652173913043478
408,111.0,4.0,0.9652173913043478
409,111.0,4.0,0.9652173913043478
410,111.0,4.0,0.9652173913043478
411,111.0,4.0,0.9652173913043478
412,111.0,4.0,0.9652173913043478
413,111.0,4.0,0.9652173913043478
414,111.0,4.0,0.9652173913043478
415,111.0,4.0,0.9652173913043478
416,111.0,4.0,0.9652173913043478
417,111.0,4.0,0.9652173913043478
418,111.0,4.0,0.9652173913043478
419,111.0,4.0,0.9652173913043478
420,111.0,4.0,0.9652173913043478
421,111.0,4.0,0.9652173913043478
422,111.0,4.0,0.9652173913043478
423,111.0,4.0,0.9652173913043478
424,111.0,4.0,0.9652173913043478
425,111.0,4.0,0.9652173913043478
426,111.0,4.0,0.9652173913043478
427,111.0,4.0,0.9652173913043478
428,111.0,4.0,0.9652173913043478
429,111.0,4.0,0.9652173913043478
430,111.0,4.0,0.9652173913043478
431,111.0,4.0,0.9652173913043478
432,111.0,4.0,0.9652173913043478
433,111.0,4.0,0.9652173913043478
434,111.0,4.0,0.9652173913043478
435,111.0,4.0,0.9652173913043478
436,111.0,4.0,0.9652173913043478
437,111.0,4.0,0.9652173913043478
438,111.0,4.0,0.9652173913043478
439,111.0,4.0,0.9652173913043478
440,111.0,4.0,0.9652173913043478
441,111.0,4.0,0.9652173913043478
442,111.0,4.0,0.9652173913043478
443,111.0,4.0,0.9652173913043478
444,111.0,4.0,0.9652173913043478
445,111.0,4.0,0.9652173913043478
446,111.0,4.0,0.9652173913043478
447,111.0,4.0,0.9652173913043478
448,111.0,4.0,0.9652173913043478
449,111.0,4.0,0.9652173913043478
450,111.0,4.0,0.9652173913043478
451,111.0,4.0,0.9652173913043478
452,111.0,4.0,0.9652173913043478
453,111.0,4.0,0.9652173913043478
454,111.0,4.0,0.9652173913043478
455,111.0,4.0,0.9652173913043478
456,111.0,4.0,0.9652173913043478
457,111.0,4.0,0.9652173913043478
458,111.0,4.0,0.9652173913043478
459,111.0,4.0,0.9652173913043478
460,111.0,4.0,0.9652173913043478
461,111.0,4.0,0.9652173913043478
462,111.0,4.0,0.9652173913043478
463,111.0,4.0,0.9652173913043478
464,111.0,4.0,0.9652173913043478
465,111.0,4.0,0.9652173913043478
466,111.0,4.0,0.9652173913043478
467,111.0,4.0,0.9652173913043478
468,111.0,4.0,0.9652173913043478
469,111.0,4.0,0.9652173913043478
470,111.0,4.0,0.9652173913043478
471,111.0,4.0,0.9652173913043478
472,111.0,4.0,0.9652173913043478
473,111.0,4.0,0.9652173913043478
474,111.0,4.0,0.9652173913043478
475,111.0,4.0,0.9652173913043478
476,111.0,4.0,0.9652173913043478
477,111.0,4.0,0.9652173913043478
478,111.0,4.0,0.9652173913043478
479,111.0,4.0,0.9652173913043478
480,111.0,4.0,0.9652173913043478
481,111.0,4.0,0.9652173913043478
482,111.0,4.0,0.9652173913043478
483,111.0,4.0,0.9652173913043478
484,111.0,4.0,0.9652173913043478
485,111.0,4.0,0.9652173913043478
486,111.0,4.0,0.9652173913043478
487,111.0,4.0,0.9652173913043478
488,111.0,4.0,0.9652173913043478
489,111.0,4.0,0.9652173913043478
490,111.0,4.0,0.9652173913043478
491,111.0,4.0,0.9652173913043478
492,111.0,4.0,0.9652173913043478
493,111.0,4.0,0.9652173913043478
494,111.0,4.0,0.9652173913043478
495,111.0,4.0,0.9652173913043478
496,111.0,4.0,0.9652173913043478
497,111.0,4.0,0.9652173913043478
498,111.0,4.0,0.9652173913043478
499,111.0,4.0,0.9652173913043478
